#,Nation,Squad Size,Avg Age,Total Value,Confederation,Points
7,France,23,"26,0",972450000,UEFA,1198
10,Spain,23,"28,5",930600000,UEFA,1126
2,Brazil,23,"28,6",882900000,CONMEBOL,1431
1,Germany,23,"27,1",794700000,UEFA,1558
12,England,23,"26,1",786600000,UEFA,1051
3,Belgium,23,"27,6",678600000,UEFA,1298
5,Argentina,23,"29,6",623700000,CONMEBOL,1241
19,Italy,26,"25,7",597600000,UEFA,951
4,Portugal,23,"28,4",418050000,UEFA,1274
17,Netherlands,25,"26,6",366300000,UEFA,981
14,Uruguay,23,"28,1",335250000,CONMEBOL,1018
20,Croatia,23,"27,9",324000000,UEFA,945
27,Senegal,23,"27,2",267570000,CAF,838
8,Poland,23,"28,3",247320000,UEFA,1183
34,Serbia,23,"26,8",240710000,UEFA,751
12,Denmark,23,"27,1",236520000,UEFA,1051
16,Colombia,22,"28,1",225720000,CONMEBOL,986
6,Switzerland,23,"27,2",196290000,UEFA,1199
45,Egypt,23,"29,0",177500000,CAF,649
26,Austria,27,"26,3",168570000,UEFA,845
70,Russia,23,"28,8",145640000,UEFA,457
68,Ivory Coast,25,"25,9",142110000,CAF,463
66,Algeria,24,"27,2",131020000,CAF,474
15,Mexico,23,"29,4",130590000,CONCACAF,989
48,Nigeria,23,"25,9",121370000,CAF,618
40,Bosnia-H.,23,"25,9",118940000,UEFA,693
28,Slovakia,24,"26,8",113360000,UEFA,804
41,Morocco,23,"27,2",112550000,CAF,686
38,Turkey,25,"26,0",110700000,UEFA,706
24,Sweden,23,"28,2",107780000,UEFA,880
18,Wales,24,"25,4",103320000,UEFA,953
46,Czech Republic,22,"26,1",99540000,UEFA,641
35,Ukraine,22,"25,8",85100000,UEFA,733
57,South Korea,23,"27,8",76520000,AFC,544
38,DR Congo,23,"25,8",74840000,CAF,706
31,Ireland,26,"27,4",70940000,UEFA,777
22,Iceland,23,"28,6",68450000,UEFA,908
49,Cameroon,22,"25,9",67500000,CAF,614
61,Japan,23,"28,6",66060000,AFC,521
47,Ghana,22,"24,3",62690000,CAF,624
53,Norway,24,"25,9",62420000,UEFA,596
58,Albania,25,"25,4",60710000,UEFA,538
21,Tunisia,23,"26,5",52990000,CAF,910
