rank,country_full,country_abrv, elo
1,Germany,GER,1558.49
2,Brazil,BRA,1430.57
3,Belgium,BEL,1298.32
4,Portugal,POR,1273.69
5,Argentina,ARG,1241.45
6,Switzerland,SUI,1198.72
7,France,FRA,1198.13
8,Poland,POL,1182.61
9,Chile,CHI,1134.66
10,Spain,ESP,1125.5
11,Peru,PER,1125.39
12,Denmark,DEN,1051.44
12,England,ENG,1050.84
14,Uruguay,URU,1018.41
15,Mexico,MEX,989.44
16,Colombia,COL,985.97
17,Netherlands,NED,980.98
18,Wales,WAL,953.46
19,Italy,ITA,951.25
20,Croatia,CRO,945.18
21,Tunisia,TUN,909.91
22,Iceland,ISL,908.01
23,Costa Rica,CRC,884.04
24,Sweden,SWE,879.9
25,USA,USA,872.68
26,Austria,AUT,844.7
27,Senegal,SEN,837.98
28,Slovakia,SVK,804.36
29,Northern Ireland,NIR,803.22
30,Romania,ROU,781.66
31,Republic of Ireland,IRL,777.11
32,Paraguay,PAR,773.18
33,Venezuela,VEN,754.55
34,Serbia,SRB,750.75
35,Ukraine,UKR,732.77
36,Australia,AUS,718.33
37,IR Iran,IRN,708.35
38,Turkey,TUR,706.39
38,Congo DR,COD,705.87
40,Bosnia and Herzegovina,BIH,692.93
41,Morocco,MAR,685.86
42,Scotland,SCO,659.61
43,Montenegro,MNE,651.58
44,Greece,GRE,649.82
45,Egypt,EGY,649.43
46,Czech Republic,CZE,640.7
47,Ghana,GHA,623.69
48,Nigeria,NGA,617.7
49,Bulgaria,BUL,614.39
49,Cameroon,CMR,613.88
51,Hungary,HUN,611.82
52,Burkina Faso,BFA,604.15
53,Norway,NOR,595.99
54,Jamaica,JAM,588.13
55,Panama,PAN,571.17
56,Slovenia,SVN,558.05
57,Korea Republic,KOR,543.67
58,Albania,ALB,537.79
59,Bolivia,BOL,536.08
60,Ecuador,ECU,523.85
61,Japan,JPN,520.75
62,Honduras,HON,503.3
63,Finland,FIN,486.43
64,Mali,MLI,483.7
65,Cape Verde Islands,CPV,477.77
66,Algeria,ALG,473.83
67,Saudi Arabia,KSA,465.28
68,Côte d'Ivoire,CIV,463.4
68,Guinea,GUI,462.98
70,Russia,RUS,456.53
71,FYR Macedonia,MKD,451.3
72,El Salvador,SLV,441.53
73,Syria,SYR,439.65
74,South Africa,RSA,427.68
75,China PR,CHN,423.09
76,Zambia,ZAM,420.31
77,United Arab Emirates,UAE,417.66
78,Belarus,BLR,417.42
79,Lebanon,LIB,411.49
79,Canada,CAN,410.93
81,Curaçao,CUW,408.27
82,Uganda,UGA,402.91
83,Congo,CGO,393.04
84,Oman,OMA,391.06
85,Gabon,GAB,389.96
85,Luxembourg,LUX,389.95
87,Cyprus,CYP,383.53
88,Benin,BEN,378.77
89,Iraq,IRQ,376.7
90,Faroe Islands,FRO,375.91
91,Trinidad and Tobago,TRI,369.54
