#,Nation,Squad Size,Avg Age,Total Value,Confederation,Points,Unnamed: 7,Unnamed: 8,M_Value
7,France,23,"26,0",972450000,UEFA,1198,5.236358623,420.13929110000004,2200.0
10,Spain,23,"28,5",930600000,UEFA,1126,5.217963584,,2192.271521
2,Brazil,23,"28,6",882900000,CONMEBOL,1431,5.196045212,,2183.062752
1,Germany,23,"27,1",794700000,UEFA,1558,5.152479316,,2164.759008
12,England,23,"26,1",786600000,UEFA,1051,5.148258146,,2162.985528
3,Belgium,23,"27,6",678600000,UEFA,1298,5.087789192,,2137.580145
5,Argentina,23,"29,6",623700000,CONMEBOL,1241,5.053567368,,2123.202212
19,Italy,26,"25,7",597600000,UEFA,951,5.036314554,,2115.953627
4,Portugal,23,"28,4",418050000,UEFA,1274,4.89438646,,2056.3240579999997
17,Netherlands,25,"26,6",366300000,UEFA,981,4.842916192,,2034.6993760000003
14,Uruguay,23,"28,1",335250000,CONMEBOL,1018,4.808720144,,2020.332273
20,Croatia,23,"27,9",324000000,UEFA,945,4.79560717,,2014.822997
27,Senegal,23,"27,2",267570000,CAF,838,4.7227504,,1984.213005
8,Poland,23,"28,3",247320000,UEFA,1183,4.6931100589999994,,1971.7599329999998
34,Serbia,23,"26,8",240710000,UEFA,751,4.682950106,,1967.4913379999998
12,Denmark,23,"27,1",236520000,UEFA,1051,4.676376072,,1964.7293280000001
16,Colombia,22,"28,1",225720000,CONMEBOL,986,4.658923757,,1957.396925
6,Switzerland,23,"27,2",196290000,UEFA,1199,4.6071447139999995,,1935.6425140000001
45,Egypt,23,"29,0",177500000,CAF,649,4.570206973,,1920.1235179999999
26,Austria,27,"26,3",168570000,UEFA,845,4.551372938,,1912.2106
70,Russia,23,"28,8",145640000,UEFA,457,4.4984454000000005,,1889.973662
68,Ivory Coast,25,"25,9",142110000,CAF,463,4.489624002,,1886.267446
66,Algeria,24,"27,2",131020000,CAF,474,4.460535577,,1874.046255
